Date,Term,Contexts,Programs,Total Matches
2015-01-08,Jeb Bush,1,1,1
2015-01-08,John Kasich,0,0,0
2015-01-08,Lindsey Graham,0,0,0
2015-01-08,Marco Rubio,0,0,0
2015-01-08,Rand Paul,0,0,0
2015-01-08,Ted Cruz,0,0,0
2015-01-09,Ben Carson,0,0,0
2015-01-09,Carly Fiorina,0,0,0
2015-01-09,Chris Christie,6,8,12
2015-01-09,Donald Trump,2,2,3
2015-01-09,Jeb Bush,1,1,1
2015-01-09,John Kasich,0,0,0
2015-01-09,Lindsey Graham,0,0,0
2015-01-09,Marco Rubio,1,1,1
2015-01-09,Rand Paul,0,0,0
2015-01-09,Ted Cruz,0,0,0
2015-01-10,Ben Carson,0,0,0
2015-01-10,Carly Fiorina,0,0,0
2015-01-10,Chris Christie,7,12,18
2015-01-10,Donald Trump,0,0,0
2015-01-10,Jeb Bush,3,3,4
2015-01-10,John Kasich,0,0,0
2015-01-10,Lindsey Graham,1,1,1
2015-01-10,Marco Rubio,1,1,1
2015-01-10,Rand Paul,0,0,0
2015-01-10,Ted Cruz,0,0,0
2015-01-11,Ben Carson,0,0,0
2015-01-11,Carly Fiorina,0,0,0
2015-01-11,Chris Christie,14,19,50
2015-01-11,Donald Trump,0,0,0
2015-01-11,Jeb Bush,7,7,27
2015-01-11,John Kasich,0,0,0
2015-01-11,Lindsey Graham,1,1,1
2015-01-11,Marco Rubio,0,0,0
2015-01-11,Rand Paul,4,4,5
2015-01-11,Ted Cruz,2,2,2
2015-01-12,Ben Carson,0,0,0
2015-01-12,Carly Fiorina,0,0,0
2015-01-12,Chris Christie,13,17,30
2015-01-12,Donald Trump,0,0,0
2015-01-12,Jeb Bush,3,3,8
2015-01-12,John Kasich,1,1,1
2015-01-12,Lindsey Graham,0,0,0
2015-01-12,Marco Rubio,2,2,7
2015-01-12,Rand Paul,1,1,2
2015-01-12,Ted Cruz,0,0,0
2015-01-13,Ben Carson,0,0,0
2015-01-13,Carly Fiorina,0,0,0
2015-01-13,Chris Christie,10,31,50
2015-01-13,Donald Trump,5,5,6
2015-01-13,Jeb Bush,2,2,5
2015-01-13,John Kasich,0,0,0
2015-01-13,Lindsey Graham,0,0,0
2015-01-13,Marco Rubio,0,0,0
2015-01-13,Rand Paul,2,2,2
2015-01-13,Ted Cruz,2,2,3
2015-01-14,Ben Carson,0,0,0
2015-01-14,Carly Fiorina,0,0,0
2015-01-14,Chris Christie,8,22,30
2015-01-14,Donald Trump,2,3,7
2015-01-14,Jeb Bush,4,4,6
2015-01-14,John Kasich,0,0,0
2015-01-14,Lindsey Graham,0,0,0
2015-01-14,Marco Rubio,1,1,1
2015-01-14,Rand Paul,2,2,2
2015-01-14,Ted Cruz,1,1,1
2015-01-15,Ben Carson,0,0,0
2015-01-15,Carly Fiorina,0,0,0
2015-01-15,Chris Christie,1,1,1
